,title,rating,date_added,duration
504,The Breadwinner,PG-13,20-Feb-18,93 min
505,The Break-Up,PG-13,16-Jul-19,107 min
506,The Brothers Grimm,PG-13,1-Jul-19,119 min
507,The Bucket List,PG-13,1-Oct-19,97 min
508,The Bye Bye Man,PG-13,1-Apr-19,96 min
509,The Car,PG,1-Jun-20,96 min
510,The Christmas Candle,PG,1-Nov-19,100 min
511,The Christmas Chronicles: Part Two,PG,25-Nov-20,115 min
512,The Cloverfield Paradox,PG-13,5-Feb-18,102 min
513,The Command,PG-13,19-Oct-19,118 min
514,The Confirmation,PG-13,6-Feb-19,101 min
515,The Croods,PG,29-Jul-19,99 min
516,The Da Vinci Code,PG-13,1-Dec-20,149 min
517,The Dark Crystal,PG,1-May-19,93 min
518,The Darkness,PG-13,16-Jun-20,92 min
519,The Dukes of Hazzard,PG-13,1-Jan-20,104 min
520,The First Wives Club,PG,20-Nov-19,103 min
521,The Flintstones,PG,1-Oct-19,91 min
522,The Flintstones in Viva Rock Vegas,PG,1-Oct-19,91 min
523,The Forbidden Kingdom,PG-13,1-Jul-19,104 min
524,The Forest,PG-13,16-Feb-20,93 min
525,The Founder,PG-13,21-Aug-20,115 min
526,The Good Catholic,PG-13,24-Jan-18,97 min
527,The Grandmaster,PG-13,26-Sep-19,108 min
528,The Green Hornet,PG-13,18-Apr-20,119 min
529,The Half Of It,PG-13,1-May-20,105 min
530,The Haunting of Molly Hartley,PG-13,4-Oct-18,85 min
531,The Help,PG-13,1-Jun-20,147 min
532,The Hundred-Foot Journey,PG,31-Jan-19,123 min
533,The Hurricane Heist,PG-13,26-Sep-18,103 min
534,The Hurt Business,PG-13,1-Feb-17,111 min
535,The Imaginarium of Doctor Parnassus,PG-13,8-Mar-19,123 min
536,The Impossible,PG-13,1-Nov-20,114 min
537,The Incredibles 2,PG,30-Jan-19,118 min
538,The Indian in the Cupboard,PG,1-Nov-20,96 min
539,The Invention of Lying,PG-13,1-Jan-20,99 min
540,The Iron Lady,PG-13,7-Jul-19,105 min
541,The Jane Austen Book Club,PG-13,8-Mar-19,106 min
542,The Karate Kid,PG,17-Oct-19,140 min
543,The Keeping Hours,PG-13,1-Sep-18,95 min
544,The Lake House,PG,1-Sep-19,98 min
545,The Lamb,PG,4-Jun-18,86 min
546,The Last Airbender,PG,8-Apr-20,104 min
547,The Last Exorcism,PG-13,1-Sep-19,88 min
548,The Last Whistle,PG,26-Oct-19,88 min
549,The Life Ahead,PG-13,13-Nov-20,95 min
550,The Little Mermaid,PG,1-Dec-18,85 min
551,The Little Prince,PG,6-Nov-20,107 min
552,The Longshots,PG,30-Jan-19,95 min
553,The Look of Silence,PG-13,26-Feb-16,103 min
554,The Lord of the Rings: The Return of the King,PG-13,1-Jan-20,201 min
555,The Lord of the Rings: The Two Towers,PG-13,1-Jan-20,179 min
556,The Lost Husband,PG-13,10-Aug-20,110 min
557,The Love Guru,PG-13,20-Nov-19,87 min
558,The Mask of Zorro,PG-13,1-Jan-20,138 min
559,The Midnight Sky,PG-13,23-Dec-20,119 min
560,The Muppets,PG,1-Sep-20,104 min
561,The Naked Gun 2 1/2: The Smell of Fear,PG-13,1-Jan-20,85 min
562,The Naked Gun: From the Files of Police Squad!,PG-13,1-Jan-21,85 min
563,The Natural,PG,1-Jan-20,138 min
564,The Next Karate Kid,PG,1-Nov-20,107 min
565,The Nut Job,PG,18-Jun-20,85 min
566,The Nutcracker and the Four Realms,PG,28-May-19,99 min
567,The Other Guys,PG-13,1-Feb-20,108 min
568,The Pelican Brief,PG-13,1-Nov-19,141 min
569,The Perks of Being a Wallflower,PG-13,1-Apr-20,103 min
570,The Phantom of the Opera,PG-13,1-Jun-19,141 min
571,The Pink Panther,PG,1-Jul-19,93 min
572,The Pirate Fairy,G,15-Jun-14,78 min
573,The Pirates! Band of Misfits,PG,1-Oct-20,88 min
574,The Pixar Story,G,18-Nov-18,89 min
575,The Polar Express,G,1-Jan-21,100 min
576,The Prince & Me,PG,1-Oct-20,111 min
577,The Princess and the Frog,G,16-Jul-19,98 min
578,The Prom,PG-13,11-Dec-20,132 min
579,The Promise,PG-13,9-Aug-20,133 min
580,The Pursuit of Happyness,PG-13,1-Oct-19,117 min
581,The Rainmaker,PG-13,20-Nov-19,136 min
582,The Reliant,PG-13,28-Apr-20,116 min
583,The Ring,PG-13,1-Jan-20,116 min
584,The River Wild,PG-13,1-Sep-18,111 min
585,The Roommate,PG-13,1-Apr-20,91 min
586,The Rugrats Movie,G,1-Oct-19,81 min
587,The Sapphires,PG-13,26-Apr-19,99 min
588,The Sea of Trees,PG-13,8-Nov-18,111 min
589,The Secret Life of Pets 2,PG,27-Dec-19,86 min
590,The Short Game,PG,12-Dec-13,100 min
591,The Signal,PG-13,13-Jul-18,97 min
592,The Silence,PG-13,10-Apr-19,91 min
593,The Smurfs,PG,1-Sep-20,103 min
594,The Smurfs 2,PG,15-Sep-20,105 min
595,The Social Dilemma,PG-13,9-Sep-20,94 min
596,The Social Network,PG-13,1-Apr-20,121 min
597,The Space Between Us,PG-13,1-Jun-19,120 min
598,The Spiderwick Chronicles,PG,1-Mar-19,97 min
599,The Spy Next Door,PG,1-Nov-20,94 min
600,The Theory of Everything,PG-13,16-Dec-18,123 min
601,The Time Machine,PG-13,23-Nov-19,96 min
602,The Time Traveler's Wife,PG-13,1-Oct-19,107 min
603,The Tourist,PG-13,7-Jan-20,103 min
604,The Tuxedo,PG-13,1-Nov-19,99 min
605,The Two Popes,PG-13,20-Dec-19,126 min
606,The Unknown Known,PG-13,22-Feb-19,103 min
607,The Vatican Tapes,PG-13,20-Apr-20,91 min
608,The Water Horse: Legend of the Deep,PG,1-Nov-18,112 min
609,The Waterboy,PG-13,8-Mar-17,90 min
610,The Willoughbys,PG,22-Apr-20,92 min
611,The World Is Not Enough,PG-13,31-Dec-19,128 min
612,The World We Make,PG,4-Sep-19,108 min
613,The Young Messiah,PG-13,27-Aug-20,111 min
614,"Thelonious Monk: Straight, No Chaser",PG-13,1-Nov-19,89 min
615,Thor: Ragnarok,PG-13,5-Jun-18,131 min
616,Tigertail,PG,10-Apr-20,91 min
617,Tini: The New Life of Violetta,G,19-Feb-17,99 min
618,Tinker Bell and the Legend of the NeverBeast,G,17-May-15,78 min
619,"To Wong Foo, Thanks for Everything! Julie Newmar",PG-13,1-Aug-19,108 min
620,Tomorrow Never Dies,PG-13,31-Dec-19,119 min
621,Tortilla Soup,PG-13,15-Sep-20,104 min
622,Tracers,PG-13,22-Oct-19,94 min
623,Traitor,PG-13,1-Jul-18,114 min
624,Transcendence,PG-13,1-Nov-18,119 min
625,Tremors,PG-13,1-Jan-20,96 min
626,Tremors 2: Aftershocks,PG-13,1-Jan-20,100 min
627,Tremors 3: Back to Perfection,PG,1-Jan-20,104 min
628,Tremors 4: The Legend Begins,PG-13,1-Jan-20,101 min
629,Tremors 5:  Bloodline,PG-13,1-Jan-20,99 min
630,Tremors 6: A Cold Day in Hell,PG-13,1-May-18,98 min
631,Tremors: Shrieker Island,PG-13,20-Oct-20,102 min
632,True Grit,G,1-Jan-20,128 min
633,Turbo,PG,12-Sep-19,96 min
634,Unaccompanied Minors,PG,1-Oct-19,90 min
635,Undefeated,PG-13,18-Aug-17,113 min
636,Under the Shadow,PG-13,7-Jan-17,84 min
637,Undercover Grandpa,PG-13,1-Nov-17,94 min
638,Underdogs,PG,15-Jun-20,85 min
639,Unfinished Song,PG-13,22-Jul-19,94 min
640,Unknown,PG-13,1-Jan-21,113 min
641,Vampires vs. the Bronx,PG-13,2-Oct-20,86 min
642,Vantage Point,PG-13,1-Nov-19,90 min
643,Victor,PG-13,24-Jul-17,110 min
644,Wadjda,PG,19-May-20,93 min
645,"""Waiting for """"Superman""""""",PG,7-Sep-20,111 min
646,Walking Out,PG-13,1-Oct-19,96 min
647,War Horse,PG-13,6-May-19,147 min
648,Water & Power: A California Heist,PG,1-Feb-18,78 min
649,We Can Be Heroes,PG,25-Dec-20,101 min
650,What a Girl Wants,PG,1-May-20,105 min
651,What Lies Beneath,PG-13,1-Jan-20,130 min
652,What's Eating Gilbert Grape,PG-13,1-Jan-21,118 min
653,Where the Money Is,PG-13,15-Jan-20,89 min
654,Wild Child,PG-13,1-Nov-19,98 min
655,Wild Oats,PG-13,13-May-17,86 min
656,Wild Wild West,PG-13,1-Jan-20,106 min
657,Wildlife,PG-13,1-Sep-20,105 min
658,Willy Wonka & the Chocolate Factory,G,1-Jan-20,100 min
659,Winchester,PG-13,1-Jul-20,100 min
660,Wish Upon a Unicorn,PG,15-Sep-20,93 min
661,Woody Woodpecker,PG,6-Feb-18,91 min
662,World Trade Center,PG-13,20-Nov-19,129 min
663,Wyatt Earp,PG-13,1-Jan-20,191 min
664,XXx,PG-13,1-Jan-19,124 min
665,XXX: State of the Union,PG-13,1-Jan-19,101 min
666,Yellowbird,PG,5-Aug-15,90 min
667,Yes Man,PG-13,1-Jan-20,104 min
668,Yoga Hosers,PG-13,2-Dec-16,88 min
669,"Yours, Mine and Ours",PG,20-Nov-19,88 min
670,Zokkomon,PG,1-Nov-18,104 min
671,Zoom,PG,11-Jan-20,88 min
